,Country,1990_temp,1991_temp,1992_temp,1993_temp,1994_temp,1995_temp,1996_temp,1997_temp,1998_temp,1999_temp,2000_temp,2001_temp,2002_temp,2003_temp,2004_temp,2005_temp,2006_temp,2007_temp,2008_temp,1990_CO2,1991_CO2,1992_CO2,1993_CO2,1994_CO2,1995_CO2,1996_CO2,1997_CO2,1998_CO2,1999_CO2,2000_CO2,2001_CO2,2002_CO2,2003_CO2,2004_CO2,2005_CO2,2006_CO2,2007_CO2,2008_CO2,Region
43,Djibouti,29.302999999999997,29.28941666666667,28.999,28.74083333333333,29.06233333333333,29.25975,29.165250000000004,29.269333333333336,29.780500000000004,29.371500000000008,29.86,29.47691666666667,29.531583333333334,29.757833333333334,29.540916666666664,29.80858333333333,29.777416666666667,29.78633333333333,29.339250000000003,0.710848494549076,0.687198804761012,0.697081440085324,0.710877928998201,0.69965053268082,0.684778392975994,0.677141491603485,0.660963868089612,0.596138996138996,0.623557948376344,0.551104613829191,0.513651207837738,0.522294366920472,0.52208326920117,0.57748904550368,0.585183462461976,0.592110790329277,0.580986666317233,0.612855232832653,Middle East & North Africa
44,Dominica,26.629833333333334,26.544583333333335,26.619,26.647916666666664,26.624499999999998,26.974333333333334,26.632500000000004,26.957166666666662,27.268,26.81325,26.5715,26.90216666666667,26.935666666666663,27.08,26.829666666666668,27.31925,27.148583333333335,27.09441666666667,26.664666666666665,0.827228378873756,0.828209254397109,0.826808714523266,0.875781458535283,0.976496145760336,1.13045793397231,1.03028770510227,1.13872342828106,1.09355429642568,1.15243632415754,1.47370536226892,1.6368885625009,1.48159478218208,1.64273121387283,1.59234009292631,1.64928545520493,1.60131004366812,2.19696349767659,1.88302351853754,Latin America & Caribbean
45,Dominican Republic,26.171166666666664,26.053416666666664,25.941333333333333,25.916500000000003,26.280583333333336,26.35775,25.87075,26.697249999999997,26.676333333333332,26.17283333333333,25.880416666666665,26.340666666666667,26.581249999999997,26.626333333333335,26.358750000000004,26.52116666666667,26.58566666666667,26.626,26.199250000000003,1.33027301058868,1.38090303503108,1.4970508116964,1.56462234159377,1.63047329545776,2.03446631504657,2.17841097347559,2.22689588822336,2.24433431675452,2.23102578762956,2.3413919071151,2.31880728688225,2.42638565992082,2.39251481702088,2.19056896713186,2.13308435518968,2.21464788522587,2.2412972198565,2.23663541697276,Latin America & Caribbean
46,Ecuador,22.434749999999998,22.529500000000002,22.611500000000003,22.421583333333334,22.217083333333335,22.574166666666667,22.0325,23.082916666666666,23.121,21.90216666666667,22.026,22.236083333333337,22.76366666666667,22.668333333333337,22.64791666666667,22.5295,22.603166666666667,22.359750000000002,22.22425,1.64076353526363,1.57114739050791,2.07945078548525,2.20826532417703,1.22051224635967,2.00381175959677,2.06235776808746,1.55226093415112,1.85870597861832,1.75106501479891,1.69641133920933,1.86796771456041,1.93382223417975,2.04214870166227,2.16957295889603,2.18221754420879,2.18788012177387,2.23095772109778,1.90827353995308,Latin America & Caribbean
47,El Salvador,25.566499999999994,25.64075,25.78191666666667,25.663083333333336,25.913166666666665,25.734083333333334,25.354416666666665,26.035750000000004,26.131083333333333,25.27958333333333,25.40716666666667,25.49291666666667,25.71041666666667,25.724083333333336,25.74258333333334,25.622833333333332,25.758499999999998,25.475166666666663,25.248250000000002,0.490964855137279,0.596797794456547,0.623561309297882,0.696750403426046,0.782111013414974,0.921003083510119,0.845295172862258,0.986599654090705,0.988788548402655,0.96403779063571,0.966704908249661,0.996957271564477,1.00856947283113,1.0906056280387,1.04132038391771,1.05152158172373,1.06789643306505,1.13119870811825,0.99726916543712,Latin America & Caribbean
48,Equatorial Guinea,25.285000000000007,25.235083333333336,24.889166666666668,25.189333333333337,25.2865,25.614583333333332,25.238416666666666,25.32525,26.003500000000003,25.322999999999997,25.220583333333337,25.207250000000002,25.526500000000002,25.627416666666665,25.59416666666667,25.62391666666667,25.785416666666666,25.773666666666667,25.76875,0.32365661282687,0.521775462052694,0.541094879740298,0.248171512822372,0.085676569198958,0.298314001179589,0.256590010080447,0.620886121493547,0.345632213818978,0.938575518699368,0.873799915446405,5.76131200029784,8.98182815112485,10.5202054549046,7.93343438556513,7.75348463731964,7.59444978003346,7.44862222332654,7.26947716158333,Sub-Saharan Africa
49,Eritrea,27.448083333333333,27.256833333333333,26.428916666666662,26.930249999999997,26.890583333333336,27.13666666666667,27.183916666666672,27.146,27.577833333333334,27.514083333333332,27.51725,27.41058333333334,27.639416666666666,27.729750000000006,27.5775,27.69,27.492,27.485416666666666,27.59433333333334,..,..,..,..,0.0575475124001001,0.0924596801932948,0.106761658539216,0.158327778872179,0.172211649977948,0.175068681609713,0.165973929374606,0.165436974897921,0.152254431522308,0.175145579544084,0.178325343771905,0.170837387473237,0.120764245495483,0.120741613996363,0.0837532574394328,Sub-Saharan Africa
50,Estonia,6.698583333333332,6.2580833333333326,6.401833333333333,5.146250000000001,5.252250000000002,6.165833333333333,4.5785,5.778333333333333,5.361416666666666,6.456833333333332,7.008750000000002,5.973,6.211583333333333,5.662166666666665,5.940833333333334,6.0014166666666675,6.531833333333334,6.830833333333332,7.267833333333333,..,..,15.0220221787345,12.468781793842,12.7555454545455,11.659375782881,13.2825162429379,13.2954942857143,12.3670646371375,11.2490440832488,11.3610351827994,11.7179695305559,11.3871676389464,12.9690932247855,13.2245919989046,12.9725079247632,12.6122919406615,14.8711063508816,13.6431245454715,Europe & Central Asia
51,Ethiopia,23.37958333333334,23.41241666666667,23.239500000000003,22.98875,23.20866666666667,23.396500000000003,23.358583333333332,23.423833333333334,23.689416666666663,23.446833333333334,23.762583333333335,23.6615,23.82325,23.857166666666668,23.778666666666666,23.89691666666667,23.77808333333333,23.724000000000004,23.60258333333333,0.0624402520657565,0.0597001390732126,0.0573475059717433,0.096503226754498,0.0543273469424082,0.0377357309712317,0.0634517816590079,0.0706944289416017,0.0808608610157424,0.079461764167002,0.0889099874611716,0.0640191106195881,0.0649048461566906,0.0698855978946206,0.0716445768464048,0.07391884728428,0.0788955983455564,0.0844106409964297,0.0894520620243437,Sub-Saharan Africa
52,Fiji,25.400500000000005,25.348,25.296333333333333,25.007166666666667,25.148749999999996,25.715999999999998,25.86108333333333,25.323416666666663,25.865333333333336,25.686666666666667,25.837166666666672,25.751416666666668,25.713333333333335,25.44666666666667,25.507749999999998,25.643416666666667,25.631500000000003,26.055333333333333,25.730166666666673,1.1226691744807,0.917670163832756,0.985228292467987,1.02484300929427,1.08229716934931,1.14408928757908,1.17293456333717,0.957012727490497,0.911385875843809,1.0315790647729,1.06163100978419,1.37718402513562,1.05113335685306,2.02790274292552,2.30557976906417,1.98829984207705,1.89096861768549,1.74730475404871,1.48653175305903,East Asia & Pacific
